,Surface Latitude,Surface Longitude,API,Lat Len - Horz Disp,Lat Len - Gross Perf,Year,Depth Total Maximum,Perforation Upper,Perforation Lower,FName_BRISCOE RANCH,FName_BRISCOE RANCH D1,FName_CAGE RANCH,FName_CHITTIM,FName_CYPRESS LANDING,FName_DE WITT,FName_DILWORTH,FName_DOERING RANCH,FName_EAGLEVILLE,FName_GIDDINGS,FName_HAWKVILLE,FName_HAWKVILLE D1,FName_PEARSALL,FName_PILGRIM,FName_PLEASANTON,FName_RED HAWK DIST 1,FName_SACATOSA,FName_SMILEY,FName_SOUTHERN BAY,FName_SUGARKANE,FName_UNNAMED,FName_WILDCAT,PrType_BUXT,PrType_CER,PrType_RCSD,PrType_SAND,PrType_SANDCER,PrType_SANDCERRCCR,PrType_SANDCRRCSD,PrType_SANDRCCR,PrType_SANDRCSD,PrType_SDRCSDCERRCR,FlType_A,FlType_F,FlType_FLUD,FlType_FRAC,FlType_GAFR,FlType_GEL,FlType_KCL,FlType_SLKW,FlType_U,FlType_W,FlType_X-LINKGEL,Proppant Amount,Fluid Amount,Proppant div Fluid,y_true,y_pred,dm,Trt Proppant Type,Trt Fluid Type,Trt N Frac Stages,Date Completion,Liquid,Operator
42013343140100,28.726847221999996,-98.62958055600001,42013343140100,5599.0,5157.0,2010.0,13913.0,8690.0,13847.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3638400.0,6307280.0,0.5768572189596783,0.11417872448938933,0.08979721367359161,0.2135381256432191,SAND,FLUD,16.0,2010-11-18,56677.0,COMSTOCK OIL&GAS LP
42013343330000,28.846461111,-98.21195,42013343330000,6745.0,6302.0,2011.0,17414.0,11579.0,16477.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4334000.0,5462226.0,0.7934494105516688,0.09249741460636544,0.11472080647945405,0.2402596004187044,SAND,FLUD,1.0,2011-04-15,56109.0,EOG RESOURCES INC
42013343380000,28.803863889000002,-98.121575,42013343380000,4576.0,4536.0,2011.0,15502.0,10870.0,15406.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2280686.0,2540412.0,0.8977622527369576,0.15483015148220627,0.14473584294319153,0.06519601280745906,SAND,FLUD,17.0,2011-05-14,67601.0,MARATHON OIL EF LLC
42013343390000,28.803941666999997,-98.12148333299999,42013343390000,4749.0,4281.0,2011.0,15239.0,10860.0,15141.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2102720.0,2492448.0,0.8436364570093338,0.16857377965076653,0.12119229137897493,0.28107270519740146,SAND,FLUD,16.0,2011-05-13,69464.0,MARATHON OIL EF LLC
42013343410000,28.798651944,-98.12851833299999,42013343410000,4557.0,4219.0,2011.0,15015.0,10710.0,14929.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3584000.0,6688500.0,0.5358451072736787,0.17145734592693848,0.12373557686805725,0.2783302680960457,SAND,W,1.0,2011-05-25,69629.0,MARATHON OIL EF LLC
42013343440000,28.730583333000002,-98.19822222200001,42013343440000,4839.0,3824.0,2011.0,15634.0,11600.0,15424.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3788668.0,3889158.0,0.9741615023097544,0.2760485584914312,0.18348059058189392,0.33533219088485355,SAND,FLUD,13.0,2011-05-12,101608.0,MARATHON OIL EF LLC
42013343490000,28.840016666999997,-98.200708333,42013343490000,4975.0,4420.0,2011.0,14750.0,10244.0,14664.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4444000.0,3023160.0,1.46998504875693,0.13062456331742392,0.12095604836940765,0.07401758675756345,SAND,FLUD,1.0,2011-07-25,55574.0,EOG RESOURCES INC
42013343510000,28.78055,-98.17969444399999,42013343510000,6466.0,5750.0,2012.0,16827.0,11000.0,16750.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5800000.0,3747003.0,1.5479037513447411,0.1493167189994044,0.1363656222820282,0.08673574402226095,SAND,X-LINKGEL,29.0,2012-08-01,82642.0,XTO ENERGY INC
42013343520000,28.840061111,-98.200647222,42013343520000,4613.0,4100.0,2011.0,14362.0,10169.0,14269.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4130000.0,2671914.0,1.5457084322324746,0.07806984296692282,0.10138621926307677,0.29866047387891903,SAND,FLUD,1.0,2011-09-07,30810.0,EOG RESOURCES INC
42013343530000,28.727989444000002,-98.178929167,42013343530000,5930.0,5582.0,2011.0,17055.0,11369.0,16951.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4589440.0,3147648.0,1.45805375950551,0.16543179986551684,0.11433936655521393,0.3088428787683933,SAND,FLUD,16.0,2011-06-25,88886.0,MARATHON OIL EF LLC
