borehole,id,CALI,DEPTH,DTCO,DTSM,RHOB,SGR,VOL_ILLITE
F102,3628,8.4679,10996.0,75.2,136.8,2.389,45.0176,0.043823
F102,3629,8.4679,10996.5,75.2,136.8,2.4012,44.8219,0.046092
F102,3630,8.4679,10997.0,75.2,136.8,2.4134,44.6261,0.04858
F102,3631,8.4679,10997.5,75.2,136.8,2.4045,44.4304,0.04084
F102,3632,8.4679,10998.0,75.2,136.8,2.3957,44.2347,0.033125
F102,3633,8.4679,10998.5,75.2,136.8,2.3868,44.0389,0.02491
F102,3634,8.4679,10999.0,75.2,136.8,2.381,44.9089,0.029141000000000007
F102,3635,8.4679,10999.5,75.2,136.8,2.3753,45.7788,0.033584
F102,3636,8.4679,11000.0,75.2,136.8,2.3696,46.6487,0.038176
F102,3637,8.4679,11000.5,75.2,136.8,2.3639,47.5186,0.042349
F102,3638,8.4679,11001.0,74.4,135.2,2.3582,48.3885,0.046677
F102,3639,8.4546,11001.5,74.4,135.2,2.3525,49.2584,0.047584
F102,3640,8.4412,11002.0,74.4,135.2,2.3468,50.1283,0.048484
F102,3641,8.4279,11002.5,74.4,135.2,2.349,50.9982,0.053453
F102,3642,8.4145,11003.0,74.4,135.2,2.3512,51.8681,0.058408
F102,3643,8.4012,11003.5,74.4,135.2,2.3534,50.8894,0.060908
F102,3644,8.4123,11004.0,74.4,135.2,2.3434,49.9108,0.057455999999999986
F102,3645,8.4234,11004.5,74.4,135.2,2.3334,53.1729,0.07222100000000001
F102,3646,8.4346,11005.0,74.4,135.2,2.3334,56.4351,0.091622
F102,3647,8.4457,11005.5,74.4,135.2,2.3334,59.6972,0.110914
F102,3648,8.4568,11006.0,74.4,135.2,2.3334,62.9594,0.122276
F102,3649,8.4679,11006.5,70.4,133.6,2.3334,66.2215,0.122435
F102,3650,8.5346,11007.0,70.4,133.6,2.3259,69.4837,0.12088
F102,3651,8.6013,11007.5,70.4,133.6,2.3184,69.8395,0.120542
F102,3652,8.668,11008.0,70.4,133.6,2.3109,70.1954,0.120233
F102,3653,8.7347,11008.5,70.4,133.6,2.3034,70.5513,0.119953
F102,3654,8.8014,11009.0,70.4,133.6,2.2959,70.9072,0.1197
F102,3655,8.7569,11009.5,70.4,133.6,2.2884,71.263,0.119559
F102,3656,8.7125,11010.0,70.4,133.6,2.2809,71.6189,0.119442
F102,3657,8.668,11010.5,70.4,133.6,2.2734,71.9748,0.119348
F102,3658,8.6235,11011.0,70.4,133.6,2.2868,72.3306,0.118006
F102,3659,8.5791,11011.5,78.4,136.0,2.3001,72.6865,0.116771
F102,3660,8.5346,11012.0,78.4,136.0,2.3134,73.0424,0.115632
F102,3661,8.5568,11012.5,78.4,136.0,2.3359,73.3982,0.114694
F102,3662,8.5791,11013.0,78.4,136.0,2.3584,70.2992,0.115279
F102,3663,8.6013,11013.5,78.4,136.0,2.3809,67.2002,0.115889
F102,3664,8.6235,11014.0,78.4,136.0,2.4034,64.1011,0.116527
F102,3665,8.6458,11014.5,78.4,136.0,2.4259,61.0021,0.117191
F102,3666,8.668,11015.0,78.4,136.0,2.4484,57.9031,0.117886
F102,3667,8.6983,11015.5,78.4,136.0,2.4709,54.804,0.11861
F102,3668,8.7286,11016.0,78.4,136.0,2.4934,56.5834,0.118569
F102,3669,8.759,11016.5,78.4,136.0,2.4727,58.3627,0.117695
F102,3670,8.7893,11017.0,85.6,136.8,2.4519,60.1421,0.116845
F102,3671,8.8196,11017.5,85.6,136.8,2.4312,61.9214,0.10989000000000003
F102,3672,8.8499,11018.0,85.6,136.8,2.4105,63.7008,0.11531
F102,3673,8.8802,11018.5,85.6,136.8,2.3897,65.4801,0.114629
F102,3674,8.9105,11019.0,82.4,136.0,2.369,67.2595,0.11398
F102,3675,8.9409,11019.5,82.4,136.0,2.3482,69.0388,0.11336
F102,3676,8.9712,11020.0,82.4,136.0,2.3275,70.8182,0.112769
F102,3677,9.0015,11020.5,82.4,136.0,2.3068,72.5975,0.112205
F102,3678,8.9459,11021.0,82.4,136.0,2.3059,74.3769,0.111886
F102,3679,8.8903,11021.5,82.4,136.0,2.3051,74.021,0.110917
F102,3680,8.8347,11022.0,82.4,136.0,2.3043,73.6652,0.109996
F102,3681,8.7792,11022.5,82.4,136.0,2.3034,73.3093,0.109117
F102,3682,8.7236,11023.0,82.4,136.0,2.3026,72.9534,0.108279
F102,3683,8.668,11023.5,82.4,136.0,2.3018,72.5975,0.110569
F102,3684,8.7236,11024.0,76.0,140.0,2.3009,72.2417,0.112963
F102,3685,8.7792,11024.5,76.0,140.0,2.3001,71.8858,0.11553
F102,3686,8.8348,11025.0,76.0,140.0,2.2901,71.5299,0.112147
